Number,Label,tsfresh_Value__fourier_entropy__bins_10,Cesium_freq1_signif,TSFEL_0_Spectral entropy,tsfresh_Value__cid_ce__normalize_True,Cesium_freq1_lambda,"tsfresh_Value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","tsfresh_Value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",tsfresh_Value__number_crossing_m__m_0,"tsfresh_Value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",tsfresh_Value__lempel_ziv_complexity__bins_5,tsfresh_Value__lempel_ziv_complexity__bins_100,"tsfresh_Value__fft_aggregated__aggtype_""centroid""",tsfresh_Value__ratio_beyond_r_sigma__r_3,Cesium_period_fast,tsfresh_Value__permutation_entropy__dimension_6__tau_1,TSFEL_0_Fundamental frequency,Cesium_freq2_freq,tsfresh_Value__ratio_beyond_r_sigma__r_1.5,TSFEL_0_Wavelet energy_2,TSFEL_0_Spectral spread,Cesium_p2p_scatter_2praw,"tsfresh_Value__fft_coefficient__attr_""abs""__coeff_1",Cesium_freq_frequency_ratio_21,TSFEL_0_Median diff
1026895,APERIODIC,0.13600216966487969,27.86602704230526,0.32056191340058376,1.212318524860671,0.0007457121551081285,7433.321763381583,2485.4914603601546,11.0,2486.7611571180496,0.087248322147651,0.4198359433258762,63.487284063724104,0.0,3.738694702348446,2.320906718469061,0.07473841554559044,0.3695831598629767,0.1215510812826249,201.68099922621366,10.002776269589566,1.0,862103.9620519115,10.999999999999998,-9.357940673828068
1027707,APERIODIC,0.13600216966487969,24.430993670723307,0.31693575828298903,2.7065853569996077,0.34926424553429275,21704.785554526756,9632.411718785585,36.0,7372.586112423056,0.09917971662938106,0.45488441461595824,82.3758090084275,0.0,4.063846838824579,5.254170722832597,0.2242152466367713,0.20889482948776944,0.14914243102162567,229.08320780093015,11.99633838264952,177.41339329348034,249657.51834757967,1.7654320987654322,-4.947181701660156
1160655,APERIODIC,0.12525570174922163,30.17540070593922,0.2371840309833598,1.0598027404864039,0.0007457121551081285,26085.40331426006,11060.28798940278,23.0,10897.697810343687,0.08128262490678598,0.4161073825503356,95.32331315090335,0.0,7.477389404696889,4.489328928897315,0.07473841554559044,0.2235028595218792,0.1789709172259508,599.0029349493698,11.943166082121031,1.0,2718115.955875822,10.200000000000001,15.109786987304673
1160867,APERIODIC,0.18121382170440362,21.758402343937384,0.37555099545449105,1.9143188237750777,0.5830458445095758,5945.942456581823,2524.0005443564005,20.0,2316.716912782735,0.0924683072334079,0.4429530201342282,36.280797946353815,0.0,3.651933849026409,2.7422747550020805,0.29895366218236175,0.1650707393854402,0.17002237136465326,240.92584314591053,7.176696854516533,358.9790082535589,188419.5524993568,1.2150537634408602,0.2384033203125
1292834,APERIODIC,0.13600216966487969,27.023076913871357,0.26813400335507465,3.0382087961634054,0.07507725789454706,42766.96004526181,33339.88216611775,25.0,17757.642248317,0.09321401938851603,0.424310216256525,107.97514337874625,0.0,23.36365187713311,5.365411672191058,0.07473841554559044,0.021912045051164626,0.1476510067114094,458.93288796596016,13.414106814930484,1.0,3042023.6151320417,0.4285714285714285,3.5762634277344887
1293521,APERIODIC,0.18121382170440362,20.954369132963816,0.3725092465889728,2.492587130341697,0.34926424553429275,40199.81681014359,16930.74856846559,32.0,12439.601838552013,0.09321401938851603,0.44146159582401195,65.88364402218754,0.0,2.4150820250485108,4.631255528806221,0.14947683109118087,0.04820649911256218,0.09097688292319164,485.5488687677855,10.362098216146183,217.8325619699567,501137.97549444425,0.3473684210526316,8.25518798828125
1293835,APERIODIC,0.04539477814685819,30.329960994198213,0.11141604240160487,0.5560508651066346,0.0034691010372997232,42641.31304075745,17643.35250143587,3.0,12913.722481658697,0.07755406413124534,0.4041759880686055,59.86290201232105,0.0,21.095685670261943,5.4453648961850645,0.07473841554559044,0.021912045051164626,0.14093959731543623,521.2974263171743,10.127099924141708,1.0,12076009.971402505,0.45454545454545453,10.728515625
1296110,APERIODIC,0.13600216966487969,27.271115933268614,0.24386945724588588,2.137446150114841,0.20922113476556184,32149.371025829245,24477.74113282587,22.0,10542.673811448387,0.09321401938851603,0.4444444444444444,75.64603600966441,0.0,14.261562500000002,5.459331988681148,0.14947683109118087,0.10371701324217925,0.1267710663683818,313.3935120231277,11.96207929040154,1.0,840025.2521606217,1.5106382978723405,0.9536743164067047
1569822,APERIODIC,0.04539477814685819,30.343439154689683,0.32709023521903685,0.30858765668838506,0.0007457121551081285,4649.347817508134,2335.7237153863657,3.0,1545.5785164935123,0.06413124533929904,0.3094705443698732,106.26093007116891,0.02535421327367636,15.16179401993356,4.459086105449419,0.14947683109118087,0.3228374637538255,0.10663683818046234,2346.1750353773114,12.278780258998594,1.0,5148155.787095829,14.733333333333334,-30.7860107421875
1573867,APERIODIC,0.04539477814685819,30.34313765645112,0.2506987045769352,0.2993954101901693,0.0007457121551081285,139766.74095768595,48402.72100624087,3.0,33890.618924551796,0.07233407904548844,0.3400447427293065,105.58040778137429,0.0,19.95787172011662,3.39536152802511,0.07473841554559044,0.3228374637538255,0.09694258016405667,7464.075000284321,12.251533829946801,1.0,37346563.70584367,8.84,-107.943359375
